zip,median_home_value,housing_units,median_income,population
95110,947900.0,7568.0,132800.0,19444.0
95112,956300.0,22969.0,89649.0,56766.0
95113,953100.0,1850.0,140938.0,2443.0
95116,842700.0,13987.0,83428.0,48816.0
95117,1425200.0,11226.0,115778.0,27798.0
95118,1377000.0,11941.0,148438.0,31831.0
95119,1176100.0,3538.0,164129.0,10449.0
95120,1924500.0,12974.0,250001.0,38103.0
95121,1024700.0,9918.0,133700.0,35722.0
95122,838900.0,12560.0,103406.0,52206.0
95123,1108100.0,25023.0,136364.0,70279.0
95124,1596700.0,18143.0,188433.0,51991.0
95125,1646000.0,22151.0,148422.0,53934.0
95126,1195700.0,16936.0,127297.0,38239.0
95127,995100.0,16823.0,120548.0,61091.0
95128,1214500.0,15193.0,122647.0,33585.0
95129,2000001.0,15091.0,182662.0,40896.0
95130,1774900.0,5019.0,155787.0,13491.0
95131,1134200.0,10270.0,170128.0,30745.0
95132,1263600.0,12391.0,172266.0,39605.0
95133,1074300.0,9378.0,132069.0,28561.0
95134,371200.0,14688.0,196847.0,30255.0
95135,1458800.0,7835.0,196179.0,20503.0
95136,1104300.0,16535.0,143696.0,47157.0
95138,1355000.0,5733.0,194300.0,19513.0
95139,1125200.0,2190.0,193061.0,7113.0
95148,1211400.0,12385.0,160729.0,45392.0
95050,1420500.0,16674.0,130051.0,39827.0
95051,1623600.0,25152.0,185632.0,61345.0
95054,1475400.0,10001.0,204052.0,25196.0
94085,1534500.0,9666.0,183563.0,23159.0
94086,1784200.0,21264.0,180217.0,48956.0
94087,2000001.0,21429.0,200778.0,58126.0
94089,392000.0,9449.0,153725.0,23214.0
94040,2000001.0,16963.0,184494.0,35581.0
94041,2000001.0,7383.0,168980.0,15841.0
94043,1647500.0,14756.0,180781.0,32042.0
94022,2000001.0,8151.0,250001.0,19993.0
94024,2000001.0,8486.0,250001.0,23673.0
94301,2000001.0,8220.0,235529.0,17126.0
94303,1825000.0,15927.0,148031.0,47123.0
94304,2000001.0,2490.0,162569.0,4731.0
94305,2000001.0,4223.0,72470.0,17912.0
94025,2000001.0,16259.0,215871.0,40230.0
94027,2000001.0,2682.0,250001.0,7030.0
94028,2000001.0,2783.0,250001.0,6645.0
94063,1077100.0,12162.0,115528.0,34695.0
94061,1938300.0,14122.0,141599.0,37369.0
94062,2000001.0,10496.0,233333.0,25944.0
