place_id,name,lat,lng,rating,price_level,user_ratings_total,quality_score,types,vicinity,city
ChIJLaLEtuh1j4ARBGBQhB07mRM,Crystal Springs Golf Course,37.55747499999999,-122.3816219,4.0,,322.0,4.0,bar|restaurant|food|health|point_of_interest|establishment,"6650 Golf Course Drive, Burlingame",Belmont
ChIJRcppuo11j4ARblxp8WzdrSE,The Reservoir Pub & Grill,37.5576792,-122.3820747,,,,,restaurant|food|point_of_interest|establishment,"6650 Golf Course Drive, Burlingame",Belmont
ChIJq2Lo6SR2j4ARZiFdFBGLo9w,Broadway Grill,37.5848886,-122.3658926,4.4,3.0,539.0,4.62,bar|restaurant|food|point_of_interest|establishment,"1400 Broadway, Burlingame",Belmont
ChIJDVVK5CR2j4ARgPE-lTYlOWc,Broadway Prime,37.5853618,-122.3654883,4.3,3.0,632.0,4.51,restaurant|food|point_of_interest|establishment,"1316 Broadway, Burlingame",Belmont
ChIJQeCH7yR2j4ARUbr89ybs_w8,Cafe Figaro,37.585413,-122.36569,4.5,2.0,330.0,4.73,bar|restaurant|food|point_of_interest|establishment,"1318 Broadway, Burlingame",Belmont
ChIJqfq09yR2j4ARZNC9Jan_MZs,Shabu House,37.5855389,-122.3646944,4.4,2.0,388.0,4.62,restaurant|food|point_of_interest|establishment,"1150 Paloma Avenue, Burlingame",Belmont
ChIJq6vw5CR2j4ARP1LVGHioYOM,Subway,37.5854576,-122.3654668,3.8,1.0,133.0,3.8,meal_takeaway|restaurant|food|point_of_interest|establishment,"1308 Broadway, Burlingame",Belmont
ChIJ7xbkqSV2j4ARMmIU5GRzkWs,Bonne Sante Broadway,37.5846293,-122.3658061,4.5,1.0,193.0,4.5,meal_takeaway|restaurant|food|point_of_interest|establishment,"1431 Broadway, Burlingame",Belmont
ChIJy-qn4iR2j4ARubCFxpW4lh0,Starbucks,37.5859008,-122.3651705,4.0,2.0,406.0,4.2,cafe|restaurant|food|point_of_interest|store|establishment,"1230 Broadway, Burlingame",Belmont
ChIJr6t18iR2j4ARAxZG3SeWvfs,Cafe Capuchino,37.584843,-122.3654139,4.9,1.0,156.0,4.9,cafe|restaurant|food|point_of_interest|store|establishment,"1158 Capuchino Avenue, Burlingame",Belmont
ChIJofaR7yR2j4ARuKNI4uVDOKU,Behan's An Irish Pub,37.58522780000001,-122.3653139,4.4,1.0,290.0,4.4,bar|restaurant|food|point_of_interest|establishment,"1327 Broadway, Burlingame",Belmont
ChIJTTER7SR2j4ARt_v48U0Kbyo,Que SeRaw SeRaw,37.5848337,-122.3653863,4.7,2.0,77.0,4.59,meal_takeaway|restaurant|food|point_of_interest|establishment,"1160 Capuchino Avenue, Burlingame",Belmont
ChIJOxX-qLx3j4AR_Wksr1A1aPE,Plucky's Cafe,37.58513,-122.3657303,4.7,,123.0,4.7,restaurant|cafe|food|point_of_interest|establishment,"1352 Broadway, Burlingame",Belmont
ChIJCx-t2IF3j4AR9hpvNAjkTwY,Centro Pizza,37.5851844,-122.3656736,4.6,2.0,289.0,4.83,restaurant|food|point_of_interest|establishment,"1326 Broadway, Burlingame",Belmont
ChIJL35i5iR2j4AR99unW3trc6g,Sky Ramen,37.5853217,-122.3657004,4.1,2.0,114.0,4.3,restaurant|food|point_of_interest|establishment,"1320 Broadway, Burlingame",Belmont
