place_id,name,lat,lng,rating,price_level,user_ratings_total,quality_score,types,vicinity,city
ChIJgSqBnZaHhYARhZdyjXrqU-E,Java Beach Cafe,37.7604183,-122.5090314,4.4,2.0,1577.0,4.62,cafe|restaurant|food|point_of_interest|store|establishment,"1396 La Playa Street, San Francisco",Daly City
ChIJIRYC6yCHhYARrOnIhBc7ch0,Leo’s Tacos Truck,37.763591,-122.5096081,4.8,1.0,61.0,4.24,restaurant|food|point_of_interest|establishment,"1234 Great Highway, San Francisco",Daly City
ChIJ1ShzE7mHhYARnIi1rffKeVc,Beach Chalet Brewery and Restaurant,37.7694627,-122.5102108,4.1,2.0,3583.0,4.3,bar|restaurant|food|point_of_interest|establishment,"1000 Great Highway, San Francisco",Daly City
ChIJ1ShzE7mHhYAR3k2bqDYbn8o,Park Chalet,37.76949159999999,-122.509981,4.1,2.0,1049.0,4.3,bar|restaurant|food|point_of_interest|establishment,"1000 Great Highway, San Francisco",Daly City
ChIJFeeS0-OHhYARScjvTYtHlVg,ZENSHI Handcrafted Sushi,37.77258369999999,-122.5094277,,,,,restaurant|meal_takeaway|food|point_of_interest|establishment,"850 La Playa Street, San Francisco",Daly City
ChIJg4qwGKeHhYARo41FFI_aOss,Ocean Beach Cafe,37.77454160000001,-122.5099581,4.7,2.0,556.0,4.94,cafe|restaurant|food|point_of_interest|store|establishment,"734 La Playa Street, San Francisco",Daly City
ChIJVSRsPLeHhYARz2V2-YXxEUI,TJ Cafe,37.7748235,-122.509962,4.4,1.0,199.0,4.4,cafe|restaurant|food|point_of_interest|establishment,"724 La Playa Street, San Francisco",Daly City
ChIJTWKrGHB9j4ARxSQFqCUSFq8,Java Beach At The Zoo,37.7357015,-122.5029291,4.4,1.0,682.0,4.4,cafe|restaurant|food|point_of_interest|store|establishment,"2650 Sloat Boulevard, San Francisco",Daly City
ChIJz1klb2N9j4ARqp6cB_LkB1E,Brothers Pizza,37.741567,-122.5051504,4.5,1.0,305.0,4.5,meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment,"3627 Taraval Street, San Francisco",Daly City
ChIJ-Tu9InB9j4ARn4npo8PZzEw,Pasquale's Pizzeria Restaurant,37.7356872,-122.5027665,4.0,2.0,144.0,4.2,meal_delivery|restaurant|food|point_of_interest|establishment,"2640 Sloat Boulevard, San Francisco",Daly City
ChIJTbgLahV9j4ARgnPyxENpVq4,Underdogs Too,37.7418936,-122.5048272,4.4,2.0,749.0,4.62,bar|restaurant|food|point_of_interest|establishment,"3600 Taraval Street, San Francisco",Daly City
ChIJG-c_8O19j4ARwcbO5_Nk_Rc,Galinette,37.742031,-122.504461,4.6,2.0,141.0,4.83,restaurant|food|point_of_interest|establishment,"3554-3560 Taraval Street, San Francisco",Daly City
ChIJpfu4XIN9j4ARWYHl0j6p-G4,Wawona Gates Outdoor Dining with Full Bar (United Irish Cultural Center),37.73604419999999,-122.5026571,4.9,,15.0,3.65,bar|restaurant|food|point_of_interest|establishment,"Parking lot, 2700 45th Avenue, San Francisco",Daly City
ChIJSy9BoY-HhYAR-jHGxlGU5fc,Devil's Teeth Baking Company,37.7531472,-122.5050278,4.6,1.0,1484.0,4.6,bakery|cafe|restaurant|food|point_of_interest|store|establishment,"3876 Noriega Street, San Francisco",Daly City
ChIJv50vpo-HhYARcpT8f3sjfFs,The Pizza Place on Noriega,37.7528086,-122.5056001,4.5,2.0,587.0,4.73,restaurant|food|point_of_interest|establishment,"3901 Noriega Street, San Francisco",Daly City
ChIJt4KbiIWHhYARQPRRqJxeHs0,Papa Mak's Burgers,37.75282339999999,-122.5041165,4.3,2.0,563.0,4.51,restaurant|food|point_of_interest|establishment,"3755 Noriega Street, San Francisco",Daly City
ChIJn08AoI-HhYARMPgnimpX1VM,La Playa Taqueria,37.7527778,-122.5047222,4.0,2.0,245.0,4.2,restaurant|food|point_of_interest|establishment,"3817 Noriega Street, San Francisco",Daly City
ChIJo5tRqY-HhYAR9biObzrjoJM,Hong's Kitchen,37.7527171,-122.5057612,4.2,,96.0,4.15,restaurant|food|point_of_interest|establishment,"3917 Noriega Street, San Francisco",Daly City
ChIJ_6VIdY-HhYARUUlFyG4lIAU,Yonkers Cafe,37.7528267,-122.5046791,4.5,1.0,269.0,4.5,cafe|restaurant|food|point_of_interest|establishment,"3815 Noriega Street, San Francisco",Daly City
ChIJl9KFgIqHhYAR8kY0kvmp9q0,Toyose,37.7531997,-122.5047022,4.3,2.0,239.0,4.51,restaurant|food|point_of_interest|establishment,"3814 Noriega Street, San Francisco",Daly City
ChIJa3DkEbKHhYARqJwS_TXnlWk,ZENSHI Handcrafted Sushi,37.7528552,-122.5035708,,,,,restaurant|meal_takeaway|food|point_of_interest|establishment,"3701 Noriega Street, San Francisco",Daly City
ChIJKck2KJeHhYARBwfZ8NytyRY,Thanh Long Restaurant,37.76017,-122.5060879,4.5,3.0,1559.0,4.73,restaurant|food|point_of_interest|establishment,"4101 Judah Street, San Francisco",Daly City
ChIJf-NCNpeHhYARLeneHNw3WWs,Outerlands,37.7602689,-122.5050311,4.4,2.0,1622.0,4.62,bar|restaurant|food|point_of_interest|establishment,"4001 Judah Street, San Francisco",Daly City
ChIJAxckUpeHhYARxPwtTgBDyWY,Judahlicious,37.760655,-122.503954,4.5,2.0,647.0,4.73,cafe|restaurant|food|point_of_interest|establishment,"3906 Judah Street, San Francisco",Daly City
ChIJJx6vNpeHhYARrt0bJ5LSBzY,Celia's by the Beach,37.76028,-122.5051314,4.2,2.0,407.0,4.41,restaurant|food|point_of_interest|establishment,"4019 Judah Street, San Francisco",Daly City
ChIJ5_WxL5eHhYARNm5x9Roa_yc,Woods Outbound,37.76025910000001,-122.5055792,4.6,1.0,151.0,4.6,bar|restaurant|food|point_of_interest|establishment,"4045 Judah Street, San Francisco",Daly City
ChIJG1iGoY-HhYAR-XNMTpeTJ4I,Hook Fish Co,37.762408,-122.506871,4.6,2.0,2402.0,4.83,cafe|restaurant|food|point_of_interest|establishment,"4542 Irving Street, San Francisco",Daly City
ChIJac6NJJeHhYARbgnjOkxc-ts,Golden Gate Indian Cuisine & Pizza,37.7607454,-122.5054557,4.1,2.0,283.0,4.3,meal_takeaway|meal_delivery|restaurant|food|point_of_interest|establishment,"4038 Judah Street, San Francisco",Daly City
ChIJfwGG9b2HhYARO3KbBf2mA5I,Sri Thai Cuisine,37.763946,-122.507804,4.5,2.0,282.0,4.73,restaurant|food|point_of_interest|establishment,"4621 Lincoln Way, San Francisco",Daly City
ChIJCeHIL5eHhYARYEzbJzyPvCc,Thai Cottage,37.7602555,-122.5055672,4.6,2.0,177.0,4.83,restaurant|food|point_of_interest|establishment,"4041 Judah Street, San Francisco",Daly City
ChIJac6NJJeHhYARjJYpNMa753w,7-Eleven,37.7607583,-122.50567,2.7,1.0,93.0,2.64,convenience_store|liquor_store|cafe|restaurant|food|point_of_interest|store|establishment,"1388 46th Avenue, San Francisco",Daly City
ChIJ761vTZeHhYARN3GtKOY2q0U,Mango Medley (Judah),37.760396,-122.5041084,4.2,1.0,119.0,4.2,restaurant|food|point_of_interest|establishment,"3911 Judah Street, San Francisco",Daly City
ChIJR2LQWaSHhYARzYGgvGMh4ms,Mixto Latin Cuisine,37.76063199999999,-122.504099,4.6,2.0,149.0,4.83,restaurant|food|point_of_interest|establishment,"3914 Judah Street, San Francisco",Daly City
ChIJB5QoVUuHhYARIp-fqLcznPY,Rusty Ladle,37.7567096,-122.502033,4.8,,52.0,4.11,restaurant|food|point_of_interest|establishment,"3645 Lawton Street, San Francisco",Daly City
ChIJ1SegeLyHhYARXFlCLTz5nsE,Clubhouse Restaurant | Golden Gate Golf Course,37.76906,-122.5065977,4.4,,20.0,3.34,restaurant|food|point_of_interest|establishment,"902 47th Avenue, San Francisco",Daly City
ChIJ-8KDebqHhYAR1QyUczlrxJI,Hunan Cafe #2,37.7735756,-122.5067167,4.6,1.0,196.0,4.6,restaurant|food|point_of_interest|establishment,"4450 Cabrillo Street, San Francisco",Daly City
ChIJ7_BFj7qHhYARzAHGGe2JIkY,Hakka Restaurant,37.773239,-122.505942,4.2,2.0,334.0,4.41,restaurant|food|point_of_interest|establishment,"4401 Cabrillo Street, San Francisco",Daly City
ChIJiZVwYLCHhYAR44NOfLxa7JI,Feng Ze Yuan Restaurant,37.77515479999999,-122.5060596,4.2,2.0,293.0,4.41,meal_takeaway|restaurant|food|point_of_interest|establishment,"4401 Balboa Street, San Francisco",Daly City
ChIJ7ZLdSgCHhYARezbJcMw1Kt4,Seal Rock Inn Restaurant,37.77957079999999,-122.5092142,4.1,,43.0,3.4,restaurant|food|point_of_interest|establishment,"545 Point Lobos Avenue, San Francisco",Daly City
ChIJudEwT4l6j4AR8kruJkjSG7k,Nick's Rockaway,37.60957799999999,-122.496819,4.5,2.0,2924.0,4.73,restaurant|food|point_of_interest|establishment,"100 Rockaway Beach Avenue, Pacifica",Daly City
ChIJz6JdXIl6j4AR0M4U78Jwz10,Moonraker,37.6097759,-122.4966938,4.3,2.0,1496.0,4.51,bar|restaurant|food|point_of_interest|establishment,"105 Rockaway Beach Avenue, Pacifica",Daly City
ChIJ0zqPXIl6j4AR6ZGsdaZN_zE,"Breakers Breakfast, Brunch & Lunch",37.6096711,-122.4965403,4.4,1.0,1486.0,4.4,restaurant|food|point_of_interest|establishment,"145 Rockaway Beach Avenue, Pacifica",Daly City
ChIJX7rSzvB7j4ARlihj222Vdw0,Rockaway Beach Brewery,37.6067385,-122.4973173,4.4,,43.0,3.65,bar|restaurant|food|point_of_interest|establishment,"4627 California 1, Pacifica",Daly City
ChIJ___ztP98j4AR8-nD0P-oUlo,Hot Dog Bills,37.70962979999999,-122.4973788,3.9,,11.0,2.86,restaurant|food|point_of_interest|establishment,"599 California 35, San Francisco",Daly City
ChIJpWjGJ8J9j4ARe8mOZi56ED8,The Station Cafe,37.73314,-122.4998938,2.1,,11.0,1.54,restaurant|food|point_of_interest|establishment,"1 Zoo Road, San Francisco",Daly City
ChIJQaJ50rF9j4ARAbGN1gA9ecU,Old Mandarin Islamic Restaurant,37.7384072,-122.5008145,3.7,2.0,148.0,3.89,restaurant|food|point_of_interest|establishment,"3132 Vicente Street, San Francisco",Daly City
ChIJtV1K7Xt9j4ARD3yKEwvPOHA,North Beach Pizza,37.74217100000001,-122.499069,4.2,2.0,203.0,4.41,meal_takeaway|meal_delivery|restaurant|food|point_of_interest|establishment,"3054 Taraval Street, San Francisco",Daly City
ChIJRUU_7Xt9j4AR_FhVbvPxr0Y,Vanida Thai Kitchen,37.7422493,-122.4990165,4.2,2.0,180.0,4.41,restaurant|food|point_of_interest|establishment,"3050 Taraval Street, San Francisco",Daly City
