place_id,name,lat,lng,rating,price_level,user_ratings_total,quality_score,types,vicinity,city
ChIJodBtvnhzj4ARbECmmgCQjVA,Asian Kings Kitchen,37.4933415,-122.4536608,4.5,1.0,319.0,4.5,restaurant|food|point_of_interest|establishment,"3048 Cabrillo Highway North, Half Moon Bay",Hillsborough
ChIJh7qu39xzj4ARw6NOKxN-_xg,The Barn,37.49376590000001,-122.4539225,4.3,2.0,137.0,4.51,restaurant|food|point_of_interest|establishment,"3068 California 1, Half Moon Bay",Hillsborough
ChIJ4QZEkB1zj4ARPLKEbmlqzH4,Hangetsu Sushi,37.4905228,-122.4516517,4.6,2.0,141.0,4.83,restaurant|food|point_of_interest|establishment,"2810 Cabrillo Highway North, Half Moon Bay",Hillsborough
ChIJy9cefOZ5j4ARxeQYSW3E2uo,7-Eleven,37.62386,-122.4294556,3.9,1.0,27.0,3.05,convenience_store|liquor_store|cafe|restaurant|food|point_of_interest|store|establishment,"2100 Crestmoor Drive, San Bruno",Hillsborough
ChIJD4VExed5j4ARNqOV2MzOYWs,Bayhill Shopping Center,37.62611789999999,-122.4272921,4.2,,1785.0,4.2,shopping_mall|grocery_or_supermarket|restaurant|food|point_of_interest|store|establishment,"851 Cherry Avenue, San Bruno",Hillsborough
ChIJVcSIuOd5j4AR4BHNuCAHf10,Starbucks,37.625788,-122.426066,4.1,2.0,461.0,4.3,cafe|restaurant|food|point_of_interest|store|establishment,"851 Cherry Avenue, Bayhill Shopping Center, San Bruno",Hillsborough
ChIJK655YPJ5j4ARioApqA3yJQI,Shari's Cafe and Pies,37.6307718,-122.4367996,4.2,2.0,1384.0,4.41,bakery|restaurant|food|point_of_interest|store|establishment,"2010 Rollingwood Drive, San Bruno",Hillsborough
ChIJ7cdd3ed5j4ARBh2S679hUbE,Big Mouth Burgers,37.6265452,-122.4271178,4.4,2.0,611.0,4.62,restaurant|food|point_of_interest|establishment,"851 Cherry Avenue, San Bruno",Hillsborough
ChIJV1s59PJ5j4ARXfxBJ_YbsHg,7-Eleven,37.631002,-122.4370882,3.7,1.0,22.0,2.83,convenience_store|cafe|liquor_store|restaurant|food|point_of_interest|store|establishment,"2020 Rollingwood Drive, San Bruno",Hillsborough
ChIJPecSCK15j4ARnEegmb0O2QQ,ZENSHI Handcrafted Sushi,37.6260556,-122.4273479,,,,,restaurant|meal_takeaway|food|point_of_interest|establishment,"22 Bayhill Shopping Center, San Bruno",Hillsborough
ChIJYyokdQB5j4ARyUdWYdILpoA,bb.q Chicken San Bruno,37.6266509,-122.4269276,4.4,,116.0,4.4,restaurant|food|point_of_interest|establishment,"851 Cherry Avenue #16, San Bruno",Hillsborough
ChIJ-Sg1uMt5j4ARYQlYRiDAVp0,SAJJ Mediterranean,37.626587,-122.4268417,4.4,1.0,170.0,4.4,restaurant|food|point_of_interest|establishment,"851 Cherry Avenue #15, San Bruno",Hillsborough
ChIJTc_G1ed5j4ARMEXc2A7Mb7A,Bayhill Vietnamese Bistro,37.6266937,-122.4266279,4.0,1.0,190.0,4.0,restaurant|food|point_of_interest|establishment,"851 Cherry Avenue, San Bruno",Hillsborough
ChIJk-_h1T95j4ARX5kuSsDc_IY,Ichika Izakaya,37.6257252,-122.4263916,4.5,2.0,108.0,4.73,restaurant|food|point_of_interest|establishment,"851 Cherry Avenue, San Bruno",Hillsborough
ChIJCa0k7ed5j4ARKtXmth5UXlM,Hashes & Brews,37.626169,-122.4249146,4.3,2.0,785.0,4.51,restaurant|bar|food|point_of_interest|establishment,"811 Cherry Avenue, San Bruno",Hillsborough
ChIJN3OXDOh5j4ARdzCX1sa9hxU,Carl’s Jr.,37.627129,-122.4256617,3.8,1.0,563.0,3.8,restaurant|food|point_of_interest|establishment,"899 Cherry Avenue, San Bruno",Hillsborough
ChIJlR_8Kxh5j4ARzy1ZaKgFBds,Round Table Pizza,37.62666979999999,-122.4256466,3.6,2.0,56.0,3.28,restaurant|food|point_of_interest|establishment,"851 Cherry Avenue Suite 8, San Bruno",Hillsborough
ChIJXWiEi7F5j4ARr4_DzMbCMAM,Naan Point,37.6266722,-122.4255309,4.4,2.0,246.0,4.62,restaurant|food|point_of_interest|establishment,"851 Cherry Avenue #6, San Bruno",Hillsborough
ChIJe3gjbXZ5j4ARFIHN9r5Besg,Proposition Chicken,37.6267993,-122.425534,,,,,meal_takeaway|restaurant|food|point_of_interest|establishment,"851 Cherry Avenue Suite 2, San Bruno",Hillsborough
ChIJgRLBsCV5j4AR1S6RzM4UhIY,Fiorella,37.62674450000001,-122.4253576,,,,,restaurant|food|point_of_interest|store|establishment,"851 Cherry Avenue Suite 2, San Bruno",Hillsborough
ChIJAU6Tiz15j4ARHfwKIoodbyI,Local Kitchens,37.626763,-122.4253448,4.7,1.0,266.0,4.7,restaurant|food|point_of_interest|establishment,"851 Cherry Avenue Suite 2, San Bruno",Hillsborough
ChIJKxCFocR5j4ARXPD1E3KjvbY,Chili's Grill & Bar,37.630417,-122.418185,3.8,2.0,2259.0,3.99,restaurant|bar|food|point_of_interest|establishment,"899 El Camino Real, San Bruno",Hillsborough
ChIJS4znd8R5j4ARy2N4H4STAk8,Seniore's Pizza,37.6272053,-122.4163872,4.3,1.0,766.0,4.3,meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment,"730 Kains Avenue, San Bruno",Hillsborough
ChIJc92B7tl5j4ARtvD6JYZPMKM,IHOP,37.62532139999999,-122.4139147,4.0,1.0,1418.0,4.0,restaurant|food|point_of_interest|establishment,"590 El Camino Real, San Bruno",Hillsborough
ChIJw8Wi9dd5j4ARWGxY-fnWjj4,Wendy's,37.6225262,-122.412693,4.1,1.0,1154.0,4.1,restaurant|food|point_of_interest|establishment,"499 El Camino Real, San Bruno",Hillsborough
ChIJfXxhJtt5j4ARxirku713fEw,Tastebuds,37.6293417,-122.4158417,3.8,1.0,179.0,3.8,restaurant|food|point_of_interest|establishment,"582 San Bruno Avenue West, San Bruno",Hillsborough
ChIJ7T7Nxdp5j4ARucy3ImrbkAM,Araujo's,37.6297975,-122.4146394,3.9,1.0,447.0,3.9,restaurant|food|point_of_interest|establishment,"404 San Bruno Avenue West, San Bruno",Hillsborough
ChIJrVseCNt5j4ARlE-IUpmGDBw,Akagi Restaurant,37.6274949,-122.4164627,4.4,1.0,299.0,4.4,restaurant|food|point_of_interest|establishment,"713 Camino Plaza, San Bruno",Hillsborough
