place_id,name,lat,lng,rating,price_level,user_ratings_total,quality_score,types,vicinity,city
ChIJqbnLc4Cvj4AR1xMh1tBeXXE,Jalisco's Grill,37.37169879999999,-122.2087687,4.6,,76.0,4.27,restaurant|food|point_of_interest|establishment,"3 Portola Road, Portola Valley",Los Altos
ChIJiUNAfPukj4AR5sxvOP_JPUA,Madera,37.41930060000001,-122.2121501,4.4,4.0,907.0,4.49,restaurant|food|point_of_interest|establishment,"2825 Sand Hill Road, Menlo Park",Los Altos
ChIJLftXnOGkj4ARPDWJYh24ZD4,SLACafé,37.4198829,-122.2037367,3.9,2.0,62.0,3.63,cafe|restaurant|food|point_of_interest|establishment,"2575 Sand Hill Road, Menlo Park",Los Altos
ChIJiUNAfPukj4ARkQSP3H1etD4,Rosewood Sand Hill,37.4195178,-122.2122862,4.7,,2251.0,4.7,spa|lodging|restaurant|food|point_of_interest|establishment,"2825 Sand Hill Road, Menlo Park",Los Altos
ChIJPd8zEN6kj4ARNd9OfWmHyaU,Starbucks,37.423559,-122.197718,4.1,2.0,335.0,4.3,cafe|restaurant|food|point_of_interest|store|establishment,"325 Sharon Park Drive, Menlo Park",Los Altos
ChIJPd8zEN6kj4ARpm5JaBuWH3M,El Cerrito,37.42380879999999,-122.1965054,4.5,2.0,431.0,4.73,restaurant|food|point_of_interest|establishment,"325 Sharon Park Drive B4, Menlo Park",Los Altos
ChIJH61MUJylj4AR1ThEHto19io,The Sand Hill Kitchen,37.4233323,-122.2032935,4.7,,57.0,4.09,restaurant|food|point_of_interest|establishment,"2400 Sand Hill Road, Menlo Park",Los Altos
ChIJRUujGd6kj4ARMaazxxHifUE,Eric's Gourmet,37.4239117,-122.1966525,3.5,1.0,43.0,2.9,meal_takeaway|restaurant|food|point_of_interest|store|establishment,"325 Sharon Park Drive, Menlo Park",Los Altos
ChIJrc7ei_ukj4ARduwmL1C5WS8,Pool Garden Terrace at Rosewood Sand Hill,37.4197068,-122.2125743,4.5,,13.0,3.33,bar|restaurant|food|point_of_interest|establishment,"2825 Sand Hill Road, Menlo Park",Los Altos
ChIJy6oKPhSlj4ARNSJmSFve4Vk,MJ Menlo Park INC,37.42401540000001,-122.1965772,4.8,2.0,46.0,4.22,restaurant|food|point_of_interest|establishment,"325 Sharon Park Drive Ste A2, Menlo Park",Los Altos
ChIJt8dAXemkj4ARXDrSoUeLfh0,Dutch Goose,37.4320471,-122.2015788,4.3,1.0,1454.0,4.3,bar|restaurant|food|point_of_interest|establishment,"3567 Alameda de las Pulgas, Menlo Park",Los Altos
ChIJCZfXbumkj4AR1p2me3o8urg,Flea Street,37.4318449,-122.2011183,4.5,4.0,431.0,4.59,restaurant|food|point_of_interest|establishment,"3607 Alameda de las Pulgas, Menlo Park",Los Altos
ChIJn8Cf4uukj4ARJ3Z-8BqZ5EI,Lulu's on the Alameda,37.4322851,-122.202136,4.1,1.0,407.0,4.1,restaurant|food|point_of_interest|establishment,"3539 Alameda de las Pulgas, Menlo Park",Los Altos
ChIJgfjkWemkj4ARcjnuZBHmt9w,Avanti Pizza Fresh Pasta,37.431895,-122.20236,4.1,1.0,207.0,4.1,restaurant|food|point_of_interest|establishment,"3536 Alameda de las Pulgas #4, Menlo Park",Los Altos
ChIJlexF--ukj4ARHrF17Uxv5jI,Lutticken's,37.43244139999999,-122.2024388,4.3,1.0,196.0,4.3,bar|restaurant|food|point_of_interest|establishment,"3535 Alameda de las Pulgas, Menlo Park",Los Altos
ChIJX78UQ-mkj4ARRUtM_dZIp0w,Starbucks,37.4316641,-122.2019432,3.9,2.0,213.0,4.09,cafe|restaurant|food|point_of_interest|store|establishment,"3590 Alameda de las Pulgas, Menlo Park",Los Altos
ChIJBZrpYl-lj4AR4K5ngtG0KOE,Rossotti’s Alpine Inn,37.382221,-122.193769,4.6,1.0,2937.0,4.6,bar|restaurant|food|point_of_interest|establishment,"3915 Alpine Road, Portola Valley",Los Altos
ChIJx9QRnkClj4ARLeWFiRJGxUw,Amigos Grill Cocina Mexicana y Cantina,37.4017486,-122.1933594,4.5,2.0,551.0,4.73,restaurant|food|point_of_interest|establishment,"3130 Alpine Road #290, Portola Valley",Los Altos
ChIJKca9GwClj4AR8kH7ovjMO_s,Portola Bistro,37.40139959999999,-122.1933404,4.3,2.0,32.0,3.59,restaurant|food|point_of_interest|establishment,"3130 Alpine Road # 350, Portola Valley",Los Altos
ChIJPex-dAClj4ARG2TovHsDGyM,TAVERNA,37.4015821,-122.1933555,4.3,2.0,27.0,3.53,restaurant|food|point_of_interest|establishment,"3130 Alpine Road #300, Portola Valley",Los Altos
ChIJ9ddDlXWlj4ARh9MgODrh-hg,Koma Sushi,37.402046,-122.1932626,4.3,,43.0,3.56,restaurant|food|point_of_interest|establishment,"3130 Alpine Road, Portola Valley",Los Altos
ChIJ6yaQHnylj4ARjsAEb_JIc70,Birdie's at Stanford Golf,37.4211859,-122.1842104,4.1,2.0,10.0,3.14,restaurant|food|point_of_interest|establishment,"198 Junipero Serra Boulevard, Stanford",Los Altos
ChIJt9IuUEalj4ARww8oRp7uOB4,Outdoor House,37.4244885,-122.1801313,4.1,,9.0,2.98,restaurant|food|point_of_interest|establishment,"589 Governor's Avenue, Stanford",Los Altos
ChIJN9urM66kj4ARTUoR3reRw2g,Subway,37.4506619,-122.1851727,3.7,1.0,94.0,3.63,meal_takeaway|restaurant|food|point_of_interest|establishment,"809 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJo4971K-kj4AReyDUlK6mSI0,Left Bank,37.452656,-122.1833172,4.2,3.0,1137.0,4.41,bar|restaurant|food|point_of_interest|establishment,"635 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJmcQI2K-kj4ARygry3P5HdhU,Starbucks,37.452214,-122.183867,3.9,2.0,253.0,4.09,cafe|restaurant|food|point_of_interest|store|establishment,"643-693 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJPTPS1q-kj4ARMuL955Oc-tI,Bistro Vida,37.4524799,-122.1834076,4.4,2.0,460.0,4.62,restaurant|food|point_of_interest|establishment,"641 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJiQTY0LGkj4ARaKrhEgWBgHk,Chef Kwan's,37.452247,-122.182585,3.9,2.0,273.0,4.09,restaurant|food|point_of_interest|establishment,"630 Menlo Avenue, Menlo Park",Los Altos
ChIJgyJtva-kj4ARRAkjcifHwv0,Lotus Restaurant,37.4537353,-122.1844533,4.3,1.0,287.0,4.3,restaurant|food|point_of_interest|establishment,"625 Oak Grove Avenue Unit B, Menlo Park",Los Altos
ChIJXTqVn7qkj4ARa3-Bikh4S9c,Amici's East Coast Pizzeria,37.4503135,-122.1859112,4.2,2.0,525.0,4.41,restaurant|food|point_of_interest|establishment,"880 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJ2wlgDrCkj4ARMheNOnjl6wc,Mademoiselle Colette,37.4508806,-122.1853833,4.5,3.0,693.0,4.73,bakery|cafe|restaurant|food|point_of_interest|store|establishment,"816 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJ2aR2-6-kj4ARCRsRgFybxcc,Coffeebar,37.452,-122.1855,4.4,2.0,940.0,4.62,bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment,"1149 Chestnut Street, Menlo Park",Los Altos
ChIJKRo4cbCkj4ARTAlpAXF8f7s,The Posh Bagel (Menlo Park),37.4501611,-122.1856063,4.0,1.0,202.0,4.0,bakery|restaurant|food|point_of_interest|store|establishment,"869 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJJa7UG7Ckj4ARWTVwwBUhWU0,Bagel Street Cafe,37.4513695,-122.1849418,4.4,1.0,178.0,4.4,bakery|cafe|restaurant|food|point_of_interest|store|establishment,"746 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJYfJCcSqlj4ARm2v5HkfMSv0,Camper,37.4499958,-122.1861014,4.4,2.0,434.0,4.62,restaurant|food|point_of_interest|establishment,"898 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJ43doM-ulj4ARDDU_2YFai1c,ZENSHI Handcrafted Sushi,37.4491818,-122.185159,,,,,restaurant|meal_takeaway|food|point_of_interest|establishment,"1010 University Drive, Menlo Park",Los Altos
ChIJB0d75rK9j4AR-sgYVBDrIgs,LeVant dessert,37.4507691,-122.1856357,4.4,2.0,166.0,4.62,bakery|cafe|restaurant|food|point_of_interest|store|establishment,"842 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJeRPhbgClj4AR9sW9Tqbu0Qs,"yeobo, darling",37.4504806,-122.1851368,4.9,,16.0,3.67,restaurant|food|point_of_interest|establishment,"827 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJVVXqDrCkj4ARLM2HcoPKxmY,Roma,37.4508844,-122.1855027,4.1,2.0,270.0,4.3,restaurant|food|point_of_interest|establishment,"820 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJ__-UGrCkj4ARFiZnv8KczUg,Clark's Oyster Bar- Menlo Park,37.4512731,-122.1851479,3.8,,27.0,2.97,restaurant|food|point_of_interest|establishment,"780 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJ1x4tlq-kj4ARmtMkYWUFaV8,La Stanza Cucina Italiana,37.4535769,-122.1845604,4.5,2.0,310.0,4.73,restaurant|food|point_of_interest|establishment,"651 Oak Grove Avenue Suite H, Menlo Park",Los Altos
ChIJx03r9yilj4ARHXLc1aMnESk,Mrs Khan Uyghur Cuisine,37.4520916,-122.1845493,4.3,2.0,222.0,4.51,restaurant|food|point_of_interest|establishment,"712 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJ9c2m3eelj4ARXFWyLXrjbDo,Tilak Indian and Nepalese Cuisine,37.4521978,-122.1837068,4.5,2.0,235.0,4.73,restaurant|food|point_of_interest|establishment,"683 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJJ-I5z6-kj4ARIr0WLwxDekM,Menlo Cafe,37.4531213,-122.1837179,4.2,1.0,94.0,4.12,cafe|restaurant|food|point_of_interest|store|establishment,"620 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJA424LSylj4ARlVqdsr_STh4,Mac'n Cheese Shop Menlo Park,37.45266729999999,-122.1833631,3.0,,3.0,2.13,meal_takeaway|restaurant|food|point_of_interest|establishment,"635 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJ_Wq7za-kj4AR2NguTYVeu84,Cold Stone Creamery,37.4530032,-122.1830461,4.0,2.0,118.0,4.2,bakery|restaurant|food|point_of_interest|store|establishment,"611 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJdRIQVbKlj4ARR7BFLYsQ1rc,Mr. Green Bubble | Menlo Park,37.453325,-122.1835405,4.2,1.0,132.0,4.2,meal_takeaway|restaurant|food|point_of_interest|store|establishment,"604 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJgU7GmCqlj4ARyMCfuMy_-Wc,Late Night at Lakeside,37.42478439999999,-122.1762722,3.4,,5.0,2.43,restaurant|food|point_of_interest|establishment,"326 Serra Mall, Stanford",Los Altos
ChIJg6x2lCqlj4AR2poY1pR6jDY,Lakeside Dining,37.4246646,-122.1763587,4.1,,172.0,4.1,restaurant|food|point_of_interest|establishment,"326 Santa Teresa Street, Stanford",Los Altos
ChIJHbZpJ9Wkj4ARV6nV6sSjBcA,Coupa Cafe - Y2E2,37.42833329999999,-122.1755556,4.1,2.0,306.0,4.3,cafe|restaurant|food|point_of_interest|store|establishment,"473 Via Ortega, Stanford",Los Altos
ChIJc-KUEdOkj4ARdvJTa-mR1JM,Beckman Bistro,37.4318753,-122.1763953,4.3,1.0,112.0,4.3,cafe|restaurant|food|point_of_interest|establishment,"279 Campus Drive W, Stanford",Los Altos
ChIJHbZpJ9Wkj4ARLAKdb9BaPAA,Coupa Cafe - Huang Engineering Center,37.4281953,-122.174204,4.1,2.0,34.0,3.45,cafe|restaurant|food|point_of_interest|store|establishment,"475 Via Ortega, Stanford",Los Altos
ChIJaUR5aWSlj4ARw6CG3DFkPQY,Kali Stanford,37.43017760000001,-122.1764784,5.0,,1.0,3.51,restaurant|food|point_of_interest|establishment,"290 Jane Stanford Way, Palo Alto",Los Altos
ChIJSXqoANOkj4ARhxIaLTXHhgk,Lutticken's Deli,37.43214830000001,-122.1772972,4.2,1.0,76.0,3.9,restaurant|food|point_of_interest|store|establishment,"269 Campus Drive, Stanford",Los Altos
ChIJW6n8VCu7j4ARUfRs20MkcpA,Greenfish Cafe,37.43099290000001,-122.174685,4.1,1.0,239.0,4.1,restaurant|food|point_of_interest|establishment,"318 Campus Drive, Stanford",Los Altos
ChIJtRbwQNOkj4ARflHkYQ2Lt-4,Alway Cafe,37.4317617,-122.1758062,,,,,cafe|restaurant|food|point_of_interest|store|establishment,"300 Pasteur Drive, Stanford",Los Altos
ChIJgzataM2kj4ARQmigzDUgYcw,ZoomCaffe,37.4357298,-122.1763631,3.2,,10.0,2.34,cafe|restaurant|food|point_of_interest|store|establishment,"Stanford Hospital, 875 Blake Wilbur Drive, Palo Alto",Los Altos
ChIJFzb5MDO7j4ARWg30HzjPZmI,Bazille,37.43910090000001,-122.1735263,4.3,2.0,156.0,4.51,restaurant|food|point_of_interest|establishment,"550 Stanford Shopping Center, Palo Alto",Los Altos
ChIJAQB0y8ukj4ARIh3K6QumFHc,Cafe Wisteria,37.4415123,-122.1791504,4.5,2.0,114.0,4.73,restaurant|food|point_of_interest|establishment,"75 Arbor Road, Menlo Park",Los Altos
ChIJ6ciMyq-kj4ARRLEgxqtHAjQ,STACKS Menlo Park,37.45345599999999,-122.183247,4.3,2.0,1284.0,4.51,restaurant|food|point_of_interest|establishment,"600 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJQaUX9rGkj4AR0094cczM7es,Jeffrey's Hamburgers,37.4525122,-122.1802369,4.5,2.0,1448.0,4.73,restaurant|food|point_of_interest|establishment,"888 El Camino Real, Menlo Park",Los Altos
ChIJiRDbtq-kj4ARtq3vEYcFmvw,Sultana Mediterranean,37.4537158,-122.1836108,4.5,2.0,659.0,4.73,restaurant|food|point_of_interest|establishment,"1149 El Camino Real, Menlo Park",Los Altos
ChIJK5fHMa6kj4AR8DZJff2k-MQ,Trellis Restaurant,37.45324610000001,-122.182664,4.3,2.0,260.0,4.51,restaurant|food|point_of_interest|establishment,"1077 El Camino Real, Menlo Park",Los Altos
ChIJyX5Cna-kj4ARFVEhKvEn--w,Round Table Pizza,37.4543529,-122.185026,4.2,2.0,367.0,4.41,meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment,"1225 El Camino Real, Menlo Park",Los Altos
ChIJE1BxNq6kj4ARm-YgnncZtO4,British Bankers Club,37.45372909999999,-122.1826871,4.3,2.0,394.0,4.51,restaurant|bar|food|point_of_interest|establishment,"555 Santa Cruz Avenue, Menlo Park",Los Altos
ChIJPbMu7rGkj4ARhNZdO83g59k,Octopus Japanese Restaurant,37.452292,-122.1810132,4.4,2.0,181.0,4.62,restaurant|food|point_of_interest|establishment,"925 El Camino Real, Menlo Park",Los Altos
