place_id,name,lat,lng,rating,price_level,user_ratings_total,quality_score,types,vicinity,city
ChIJLyCbBn1wj4ARyHjqVV6VZo4,Luigi Italian Restaurant,37.589,-122.4943333,4.5,2.0,437.0,4.73,meal_delivery|restaurant|food|point_of_interest|establishment,"Adobe Plaza Shopping Center, 950 Linda Mar Boulevard, Pacifica",Millbrae
ChIJJ7S6BH1wj4ARkm-4Sjh8D-g,Beach Monkey Organic Cafe,37.58867550000001,-122.4945457,4.4,2.0,237.0,4.62,cafe|restaurant|food|point_of_interest|establishment,"Adobe Plaza Shopping Center, 986 Linda Mar Boulevard, Pacifica",Millbrae
ChIJrU4iiIF6j4ARVLB4bC3T0ZY,Kenny's Cafe,37.5971146,-122.4974787,4.6,1.0,476.0,4.6,restaurant|food|point_of_interest|establishment,"640 Crespi Drive #1, Pacifica",Millbrae
ChIJ1Wr0xIN6j4ARZoRg5v331Iw,Kani Kosen,37.5981123,-122.4986739,4.6,,156.0,4.6,restaurant|food|point_of_interest|establishment,"580 Crespi Drive, Pacifica",Millbrae
ChIJearFsPR7j4AR-ijzRK3u_-w,Puerto 27 Restaurant,37.5996189,-122.4994475,4.2,2.0,1583.0,4.41,restaurant|food|point_of_interest|establishment,"525 Crespi Drive, Pacifica",Millbrae
ChIJudEwT4l6j4AR8kruJkjSG7k,Nick's Rockaway,37.60957799999999,-122.496819,4.5,2.0,2924.0,4.73,restaurant|food|point_of_interest|establishment,"100 Rockaway Beach Avenue, Pacifica",Millbrae
ChIJz6JdXIl6j4AR0M4U78Jwz10,Moonraker,37.6097759,-122.4966938,4.3,2.0,1496.0,4.51,bar|restaurant|food|point_of_interest|establishment,"105 Rockaway Beach Avenue, Pacifica",Millbrae
ChIJYYOzXWF6j4ARkEiVB7egEnI,Gorilla Barbeque,37.613207,-122.487671,4.4,2.0,805.0,4.62,restaurant|food|point_of_interest|establishment,"2145 Coast Highway #1, Pacifica",Millbrae
ChIJn3uGnIl6j4ARF3SR42zzVJQ,A Grape in the Fog,37.60997339999999,-122.4945056,4.6,2.0,244.0,4.83,liquor_store|cafe|bar|restaurant|food|point_of_interest|store|establishment,"400 Old County Road, Pacifica",Millbrae
ChIJO38omIl6j4ARSPSYgOKKs7M,Uoyakutei Japanese Restaurant,37.6096736,-122.4941479,4.2,2.0,336.0,4.41,restaurant|food|point_of_interest|establishment,"4408 California 1, Pacifica",Millbrae
ChIJ0zqPXIl6j4AR6ZGsdaZN_zE,"Breakers Breakfast, Brunch & Lunch",37.6096711,-122.4965403,4.4,1.0,1486.0,4.4,restaurant|food|point_of_interest|establishment,"145 Rockaway Beach Avenue, Pacifica",Millbrae
ChIJ2Yl5W2F6j4ARp-3ydsxUtF8,Vallemar Station,37.6134416,-122.4873295,4.0,2.0,343.0,4.2,bar|restaurant|food|point_of_interest|establishment,"2125 Pacific Coast Highway, Pacifica",Millbrae
ChIJOaDWoYl6j4ARzUtfWKIQB0M,Lovey's Tea Shoppe,37.6094494,-122.4946783,4.7,2.0,265.0,4.94,restaurant|food|point_of_interest|store|establishment,"4430 California 1, Pacifica",Millbrae
ChIJqQVRTmF6j4ARlu_4IX5MlmM,Guerrero's Taqueria,37.6133095,-122.4867337,4.4,1.0,694.0,4.4,restaurant|food|point_of_interest|establishment,"Vallemar Shopping Center, 164 Reina Del Mar Avenue, Pacifica",Millbrae
ChIJX7rSzvB7j4ARlihj222Vdw0,Rockaway Beach Brewery,37.6067385,-122.4973173,4.4,,43.0,3.65,bar|restaurant|food|point_of_interest|establishment,"4627 California 1, Pacifica",Millbrae
ChIJCWEaT2F6j4AR6rbh3DKcYYY,Sharp Park Restaurant,37.624961,-122.488788,4.1,1.0,216.0,4.1,restaurant|food|point_of_interest|establishment,"2600 Francisco Boulevard, Pacifica",Millbrae
ChIJrXMYFlZ6j4ARks0Ex5dBJRU,7-Eleven,37.6296396,-122.4909255,2.5,1.0,46.0,2.09,convenience_store|cafe|liquor_store|restaurant|food|point_of_interest|store|establishment,"100 Clarendon Road, Pacifica",Millbrae
ChIJr0LwQlZ6j4ARhWjZKVjP3Hw,Perfect Pour Cafe,37.62979,-122.4899466,4.6,1.0,340.0,4.6,cafe|restaurant|food|point_of_interest|store|establishment,"2500 Francisco Boulevard, Pacifica",Millbrae
ChIJs0YDOlR6j4ARHBVhsh5QdsI,Go Sushi Japanese Restaurant,37.6332054,-122.4879837,4.0,2.0,260.0,4.2,meal_delivery|restaurant|food|point_of_interest|establishment,"190 Eureka Drive, Pacifica",Millbrae
ChIJNyAcV1R6j4ARjvcPIs0xB8E,Dinosaurs Sandwiches,37.63417340000001,-122.4889571,4.6,1.0,329.0,4.6,meal_takeaway|restaurant|food|point_of_interest|establishment,"50 Eureka Drive, Pacifica",Millbrae
ChIJdTHiQlZ6j4ARvIobO04TAbY,Ocean Side Cafe,37.6297984,-122.4900001,5.0,,7.0,3.6,point_of_interest|restaurant|food|establishment,"188 Clarendon Road, Pacifica",Millbrae
ChIJY882jqB7j4ARJtJ7l5G9ubI,David's Bagels,37.6341462,-122.4922758,4.4,1.0,221.0,4.4,bakery|restaurant|food|point_of_interest|store|establishment,"1926 Palmetto Avenue, Pacifica",Millbrae
ChIJlyZNElV6j4AR_Jv0n82Hkls,Pacifica Thai Cuisine,37.6342044,-122.4902401,4.0,2.0,351.0,4.2,restaurant|food|point_of_interest|establishment,"Palmetto Avenue Shopping Center, 1966 Francisco Boulevard, Pacifica",Millbrae
ChIJzx9aK517j4ARS5l7Hp9TnrE,Seahorse Brewing,37.6336888,-122.4918452,4.0,,69.0,3.63,bar|restaurant|food|point_of_interest|establishment,"2017 Palmetto Avenue, Pacifica",Millbrae
