place_id,name,lat,lng,rating,price_level,user_ratings_total,quality_score,types,vicinity,city
ChIJ0ylFQdS6j4ARYIlSq40T71o,Subway,37.424222,-122.170939,3.9,1.0,33.0,3.12,meal_takeaway|restaurant|food|point_of_interest|establishment,"Tresidder Memorial Union, 459 Lagunita Drive, Stanford",Mountain View
ChIJw4w5aNS6j4AR9LgOtniCDno,The Treehouse,37.4240253,-122.1712546,4.2,1.0,581.0,4.2,restaurant|food|point_of_interest|establishment,"459 Lagunita Drive, Stanford",Mountain View
ChIJ0ylFQdS6j4AR0t55yGvsDVo,Panda Express,37.4243048,-122.1708422,3.6,1.0,207.0,3.6,meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment,"459 Lagunita Drive, Stanford",Mountain View
ChIJyw-jRdS6j4ARgub3WeaYpQI,Starbucks,37.42413000000001,-122.17086,4.0,2.0,353.0,4.2,cafe|restaurant|food|point_of_interest|store|establishment,"459 Lagunita Drive, Stanford",Mountain View
ChIJ0ylFQdS6j4ARbijI31sh4tU,Jamba,37.424374,-122.17078,3.7,1.0,75.0,3.42,restaurant|food|point_of_interest|establishment,"459 Lagunita Drive #11, Stanford",Mountain View
ChIJr7ZAS9S6j4ARIWkGk0FU9xg,The Axe & Palm (TAP),37.4250266,-122.1704929,4.0,1.0,231.0,4.0,restaurant|food|point_of_interest|establishment,"520 Lasuen Mall, Stanford",Mountain View
ChIJ2xOcQQG7j4ARPUxUWdX7Osk,Wetzel's Pretzels,37.4243048,-122.1708422,5.0,1.0,1.0,3.51,bakery|restaurant|food|point_of_interest|store|establishment,"459 Lagunita Drive #108, Stanford",Mountain View
ChIJTa15STq7j4ARjzcZsQytWoc,Round Table Pizza,37.4243048,-122.1708422,3.0,,2.0,2.12,meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment,"459 Lagunita Drive, Stanford",Mountain View
ChIJjTRErbIzjoAR81croG-h0Hs,Zaida's Kitchen,37.4245469,-122.1707009,3.4,,49.0,2.88,restaurant|food|point_of_interest|establishment,"Tresidder Memorial Union, Lagunita Drive, Stanford",Mountain View
ChIJHbZpJ9Wkj4ARV6nV6sSjBcA,Coupa Cafe - Y2E2,37.42833329999999,-122.1755556,4.1,2.0,306.0,4.3,cafe|store|restaurant|food|point_of_interest|establishment,"473 Via Ortega, Stanford",Mountain View
ChIJ_6L2Ayq7j4ARPBzS52mKM-4,Olives at Building 160,37.42826410000001,-122.1688453,4.0,,20.0,3.04,cafe|store|restaurant|food|point_of_interest|establishment,"450 Serra Mall, Stanford",Mountain View
ChIJzz6JWNa6j4ARuFl1EXnBCf0,Coupa Cafe - Green Library,37.426204,-122.166995,4.3,2.0,730.0,4.51,cafe|store|restaurant|food|point_of_interest|establishment,"571 Escondido Mall, Stanford",Mountain View
ChIJT06iJdi6j4ARK6ihRKzlQFI,Arbuckle Dining Pavilion,37.4284643,-122.1627905,4.2,2.0,73.0,4.05,cafe|restaurant|food|point_of_interest|establishment,"655 Knight Way, Stanford",Mountain View
ChIJWcHrNti6j4AR2u-_aV8SPfU,Coupa Cafe - GSB,37.428033,-122.162083,4.3,2.0,220.0,4.51,cafe|bakery|bar|store|restaurant|food|point_of_interest|establishment,"655 Knight Way, Stanford",Mountain View
ChIJgU7GmCqlj4ARyMCfuMy_-Wc,Late Night at Lakeside,37.42478439999999,-122.1762722,3.4,,5.0,2.43,restaurant|food|point_of_interest|establishment,"326 Serra Mall, Stanford",Mountain View
ChIJjw_T0dC6j4ARyY6kKu8Gut8,Stern Dining,37.4245317,-122.1656462,4.3,,43.0,3.56,restaurant|food|point_of_interest|establishment,"618 Escondido Road, Stanford",Mountain View
ChIJaWJ7Edq6j4ARAPCZZC6DOj4,Wilbur Dining,37.42401040000001,-122.163151,4.2,,146.0,4.2,restaurant|food|point_of_interest|establishment,"658 Escondido Road, Stanford",Mountain View
ChIJKRs5pdu6j4ARcH4kMEnUJ1I,Gerhard Casper Dining Commons,37.42555900000001,-122.1619355,4.4,2.0,37.0,3.75,restaurant|food|point_of_interest|establishment,"661 Escondido Road, Stanford",Mountain View
ChIJHbZpJ9Wkj4ARLAKdb9BaPAA,Coupa Cafe - Huang Engineering Center,37.4281953,-122.174204,4.1,2.0,34.0,3.45,cafe|store|restaurant|food|point_of_interest|establishment,"475 Via Ortega, Stanford",Mountain View
ChIJg6x2lCqlj4AR2poY1pR6jDY,Lakeside Dining,37.4246646,-122.1763587,4.1,,172.0,4.1,restaurant|food|point_of_interest|establishment,"326 Santa Teresa Street, Stanford",Mountain View
ChIJpfijVxG7j4AReFztDW-fzMs,Branner Dining,37.4258375,-122.1627065,3.0,,3.0,2.13,restaurant|food|point_of_interest|establishment,"Branner Hall Complex, 655 Escondido Road, Stanford",Mountain View
ChIJt9IuUEalj4ARww8oRp7uOB4,Outdoor House,37.4244885,-122.1801313,4.1,,9.0,2.98,restaurant|food|point_of_interest|establishment,"589 Governor's Avenue, Stanford",Mountain View
ChIJW6n8VCu7j4ARUfRs20MkcpA,Greenfish Cafe,37.43099290000001,-122.174685,4.1,1.0,239.0,4.1,restaurant|food|point_of_interest|establishment,"318 Campus Drive, Stanford",Mountain View
ChIJaUR5aWSlj4ARw6CG3DFkPQY,Kali Stanford,37.43017760000001,-122.1764784,5.0,,1.0,3.51,restaurant|food|point_of_interest|establishment,"290 Jane Stanford Way, Palo Alto",Mountain View
ChIJexdrvjK7j4AR--GDhkDzYds,Tootsie's At The Stanford Barn,37.437217,-122.173251,4.4,2.0,445.0,4.62,cafe|restaurant|food|point_of_interest|establishment,"700 Welch Road, Palo Alto",Mountain View
ChIJOfekbSy7j4ARXPcukN__pTk,Cool Cafe,37.4329809,-122.1704943,4.1,1.0,87.0,3.94,cafe|restaurant|food|point_of_interest|establishment,"328 Lomita Drive, Stanford",Mountain View
ChIJc-KUEdOkj4ARdvJTa-mR1JM,Beckman Bistro,37.4318753,-122.1763953,4.3,1.0,112.0,4.3,cafe|restaurant|food|point_of_interest|establishment,"279 Campus Drive W, Stanford",Mountain View
ChIJISfg6jK7j4AR1QjILutJPms,Vina Enoteca,37.4372072,-122.1732643,4.5,3.0,825.0,4.73,bar|restaurant|food|point_of_interest|establishment,"700 Welch Road #110, Palo Alto",Mountain View
ChIJvU-pzFW7j4ARv5_R7i1DqWY,Tootsie's at the Cantor Arts Center,37.4326871,-122.1713037,4.0,2.0,38.0,3.42,restaurant|food|point_of_interest|establishment,"328 Lomita Drive, Stanford",Mountain View
ChIJtRbwQNOkj4ARflHkYQ2Lt-4,Alway Cafe,37.4317617,-122.1758062,,,,,cafe|restaurant|food|point_of_interest|store|establishment,"300 Pasteur Drive, Stanford",Mountain View
ChIJ2R7EOfC7j4ARvyFeD7a74C8,Coho Cafe at the Alumni Center,37.4307491,-122.1648608,,,,,restaurant|food|point_of_interest|establishment,"326 Galvez Street, Stanford",Mountain View
ChIJSXqoANOkj4ARhxIaLTXHhgk,Lutticken's Deli,37.43214830000001,-122.1772972,4.2,1.0,76.0,3.9,restaurant|food|point_of_interest|store|establishment,"269 Campus Drive, Stanford",Mountain View
ChIJgzataM2kj4ARQmigzDUgYcw,ZoomCaffe,37.4357298,-122.1763631,3.2,,10.0,2.34,cafe|restaurant|food|point_of_interest|store|establishment,"Stanford Hospital, 875 Blake Wilbur Drive, Palo Alto",Mountain View
ChIJq7CK9n27j4ARk-wBfkPd78s,Pizzone,37.4372072,-122.1732643,4.3,,11.0,3.15,meal_takeaway|meal_delivery|restaurant|food|point_of_interest|establishment,"700 Welch Road #110, Palo Alto",Mountain View
ChIJIe9vfzC7j4ARKMPewN6Czv4,Café Soleil,37.44065519999999,-122.1627702,4.3,2.0,18.0,3.4,restaurant|food|point_of_interest|establishment,"675 El Camino Real, Palo Alto",Mountain View
