place_id,name,lat,lng,rating,price_level,user_ratings_total,quality_score,types,vicinity,city
ChIJuYs0k9ilj4ARK7tI5yNkZ3g,Alice's Restaurant,37.38668740000001,-122.265392,4.6,2.0,4436.0,4.83,restaurant|food|point_of_interest|establishment,"17288 Skyline Boulevard, Woodside",Portola Valley
ChIJp5p9DVihj4ARtJaM_HPxJ0Q,The Grove at Cañada College,37.4474445,-122.2660947,4.1,,39.0,3.35,restaurant|food|point_of_interest|establishment,"The Loop Road, Woodside",Portola Valley
ChIJG1kW_BCkj4AR8ZZ326YvxPU,The Village Pub,37.4289581,-122.2515746,4.6,4.0,1210.0,4.69,bar|meal_takeaway|restaurant|food|point_of_interest|establishment,"2967 Woodside Road, Woodside",Portola Valley
ChIJs3uv7H-vj4AR3FtuDCNG_8g,Buck’s Restaurant,37.4297052,-122.2551199,4.4,2.0,1837.0,4.62,restaurant|food|point_of_interest|establishment,"3062 Woodside Road, Woodside",Portola Valley
ChIJ-QNOuhqkj4AR4g3RK6FZpog,The Village Bakery & Cafe,37.4297175,-122.2550168,4.3,2.0,809.0,4.51,bakery|cafe|restaurant|food|point_of_interest|store|establishment,"3052 Woodside Road, Woodside",Portola Valley
ChIJ39n9YxCkj4AR-mWML7oK7HI,The Firehouse Bistro,37.4289132,-122.2525831,4.6,2.0,72.0,4.42,bar|restaurant|food|point_of_interest|establishment,"2991 Woodside Road, Woodside",Portola Valley
ChIJW41-opClj4ARSa48l7yxpcM,Parkside Grille,37.3835094,-122.2322042,4.6,3.0,236.0,4.83,restaurant|food|point_of_interest|establishment,"884 Portola Road, Portola Valley",Portola Valley
ChIJHUMzhESjj4ARqXozfblTyB0,Chicos Grill,37.4497509,-122.2315125,4.5,,55.0,3.89,restaurant|food|point_of_interest|establishment,"2000 Woodside Road, Redwood City",Portola Valley
ChIJa2ZiR4Wjj4ARbp69GKePl_s,Lucky,37.45654,-122.229614,4.1,,469.0,4.1,grocery_or_supermarket|supermarket|meal_delivery|restaurant|food|point_of_interest|store|establishment,"200 Woodside Plaza, Redwood City",Portola Valley
ChIJvV9tF6ejj4ARAAzKnzlEz8c,Round Table Pizza,37.457708,-122.229896,3.9,2.0,191.0,4.09,meal_takeaway|meal_delivery|restaurant|food|point_of_interest|establishment,"128 Woodside Plaza, Redwood City",Portola Valley
ChIJr4g8FoWjj4AR2iKV6OoPTAU,Breakers Cafe,37.4562697,-122.2297243,4.2,1.0,231.0,4.2,cafe|restaurant|food|point_of_interest|store|establishment,"270 Woodside Road, Redwood City",Portola Valley
