place_id,name,lat,lng,rating,price_level,user_ratings_total,quality_score,types,vicinity,city
ChIJLyCbBn1wj4ARyHjqVV6VZo4,Luigi Italian Restaurant,37.589,-122.4943333,4.5,2.0,437.0,4.73,meal_delivery|restaurant|food|point_of_interest|establishment,"Adobe Plaza Shopping Center, 950 Linda Mar Boulevard, Pacifica",San Bruno
ChIJJ7S6BH1wj4ARkm-4Sjh8D-g,Beach Monkey Organic Cafe,37.58867550000001,-122.4945457,4.4,2.0,237.0,4.62,cafe|restaurant|food|point_of_interest|establishment,"Adobe Plaza Shopping Center, 986 Linda Mar Boulevard, Pacifica",San Bruno
ChIJS2lAypx6j4AR97GeGitnTx8,Taco Bell Cantina,37.59718000000001,-122.5037496,4.4,1.0,3910.0,4.4,meal_takeaway|restaurant|food|point_of_interest|establishment,"5200 California 1, Pacifica",San Bruno
ChIJ85jyqp16j4ARtNgH_4cfmSc,La Playa,37.5948033,-122.5062825,4.0,2.0,382.0,4.2,restaurant|food|point_of_interest|establishment,"5460 California 1, Pacifica",San Bruno
ChIJKa7MtIJ6j4AReItfq3QoJbM,Starbucks,37.5955092,-122.5037503,3.9,2.0,281.0,4.09,cafe|restaurant|food|point_of_interest|store|establishment,"500 Linda Mar Boulevard, Pacifica",San Bruno
ChIJt8NeDIxwj4ARFRvYxOEBdaw,Round Table Pizza,37.59466,-122.5046546,4.0,2.0,230.0,4.2,meal_delivery|bar|meal_takeaway|restaurant|food|point_of_interest|establishment,"1285 Linda Mar Shopping Center, Pacifica",San Bruno
ChIJUwLMAZ16j4AR1yk95-PSkX4,High Tide Cafe & Crêperie,37.5947657,-122.506337,4.4,2.0,689.0,4.62,meal_takeaway|restaurant|food|point_of_interest|store|establishment,"5500 California 1, Pacifica",San Bruno
ChIJ1Wr0xIN6j4ARZoRg5v331Iw,Kani Kosen,37.5981123,-122.4986739,4.6,,156.0,4.6,restaurant|food|point_of_interest|establishment,"580 Crespi Drive, Pacifica",San Bruno
ChIJv3BDooJ6j4ARtVcxf3bsHT0,McDonald's,37.594356,-122.502142,3.7,1.0,348.0,3.7,cafe|restaurant|food|point_of_interest|store|establishment,"576 Linda Mar Boulevard, Pacifica",San Bruno
ChIJewYOyYJ6j4ARSgTTfYI8kxI,Cold Stone Creamery,37.59429669999999,-122.5047035,4.3,2.0,84.0,4.3,bakery|restaurant|food|point_of_interest|store|establishment,"1319 Linda Mar Shopping Center, Pacifica",San Bruno
ChIJrU4iiIF6j4ARVLB4bC3T0ZY,Kenny's Cafe,37.5971146,-122.4974787,4.6,1.0,476.0,4.6,restaurant|food|point_of_interest|establishment,"640 Crespi Drive #1, Pacifica",San Bruno
ChIJS0f-bIlwj4ARyOSq0_6k8ME,El Gran Amigo 2,37.593645,-122.5044344,4.1,1.0,263.0,4.1,restaurant|food|point_of_interest|establishment,"1357 Linda Mar Boulevard, Pacifica",San Bruno
ChIJo1TWTUZ7j4ARlg2aCX08g9I,Wingstop,37.5938856,-122.5045295,3.3,2.0,40.0,2.84,restaurant|food|point_of_interest|establishment,"1335 Linda Mar Shopping Center, Pacifica",San Bruno
ChIJt0Iu7_F7j4ARD6Q1bdYJLac,ZENSHI Handcrafted Sushi,37.5944128,-122.5030617,,,,,restaurant|meal_takeaway|food|point_of_interest|establishment,"1380 Linda Mar Boulevard, Pacifica",San Bruno
