place_id,name,lat,lng,rating,price_level,user_ratings_total,quality_score,types,vicinity,city
ChIJJQ0wDMifj4ARJH4RAlBBVkQ,Rainbow Pizza,37.52118060000001,-122.3372234,4.6,2.0,532.0,4.83,restaurant|food|point_of_interest|establishment,"112 De Anza Boulevard, San Mateo",San Carlos
ChIJw5XHiMifj4ARPKqzyYwc8kw,Wakuriya,37.5213139,-122.3367444,4.7,4.0,193.0,4.79,restaurant|food|point_of_interest|establishment,"115 De Anza Boulevard, San Mateo",San Carlos
ChIJW6HjCMifj4AROO6-1u_rVkk,Starbucks,37.5212054,-122.3373408,4.0,2.0,182.0,4.2,cafe|restaurant|food|point_of_interest|store|establishment,"Crystal Springs Shopping Center, 111 De Anza Boulevard, San Mateo",San Carlos
ChIJOfR9l8ifj4ARrySgX1RoFIw,Lily's Crêperie,37.52103109999999,-122.3373667,4.3,1.0,125.0,4.3,cafe|meal_takeaway|restaurant|food|point_of_interest|store|establishment,"108 De Anza Boulevard, San Mateo",San Carlos
ChIJz1gRjsifj4AR9Fq5_CAqEmw,Neal's Coffee Shop,37.5213907,-122.336832,4.3,2.0,285.0,4.51,cafe|restaurant|food|point_of_interest|establishment,"114 De Anza Boulevard, San Mateo",San Carlos
ChIJXSQlDMifj4ARCQiDUvrmeKM,Little Hunan Restaurant,37.5211704,-122.3365337,4.5,1.0,63.0,4.0,restaurant|food|point_of_interest|establishment,"120 De Anza Boulevard, San Mateo",San Carlos
ChIJDyIcll2fj4ARX9E-0E54zzI,ZENSHI Handcrafted Sushi,37.5208288,-122.3377874,,,,,restaurant|meal_takeaway|food|point_of_interest|establishment,"100 De Anza Boulevard, San Mateo",San Carlos
ChIJUeMTJoifj4ARPCq6MwzU2lw,Sourdough & Co,37.52124939999999,-122.3364909,4.5,1.0,57.0,3.92,restaurant|food|point_of_interest|establishment,"119 De Anza Boulevard, San Mateo",San Carlos
ChIJd9gXrEyej4ARlgypLDshq5w,Subway,37.5341004,-122.327048,3.1,1.0,55.0,2.68,meal_takeaway|restaurant|food|point_of_interest|establishment,"1308 West Hillsdale Boulevard, San Mateo",San Carlos
ChIJXw30qUyej4ARLerDE_pTX3A,Celia's Mexican Restaurant,37.5330796,-122.3286071,4.2,2.0,510.0,4.41,bar|restaurant|food|point_of_interest|establishment,"Laurelwood Shopping Center, 3190 Campus Drive, San Mateo",San Carlos
