place_id,name,lat,lng,rating,price_level,user_ratings_total,quality_score,types,vicinity,city
ChIJTWKrGHB9j4ARxSQFqCUSFq8,Java Beach At The Zoo,37.7357015,-122.5029291,4.4,1.0,682.0,4.4,cafe|store|restaurant|food|point_of_interest|establishment,"2650 Sloat Boulevard, San Francisco",San Francisco
ChIJ-Tu9InB9j4ARn4npo8PZzEw,Pasquale's Pizzeria Restaurant,37.7356872,-122.5027665,4.0,2.0,144.0,4.2,meal_delivery|restaurant|food|point_of_interest|establishment,"2640 Sloat Boulevard, San Francisco",San Francisco
ChIJpfu4XIN9j4ARWYHl0j6p-G4,Wawona Gates Outdoor Dining with Full Bar (United Irish Cultural Center),37.73604419999999,-122.5026571,4.9,,15.0,3.65,bar|restaurant|food|point_of_interest|establishment,"Parking lot, 2700 45th Avenue, San Francisco",San Francisco
ChIJpWjGJ8J9j4ARe8mOZi56ED8,The Station Cafe,37.73314,-122.4998938,2.1,,11.0,1.54,restaurant|food|point_of_interest|establishment,"1 Zoo Road, San Francisco",San Francisco
ChIJQaJ50rF9j4ARAbGN1gA9ecU,Old Mandarin Islamic Restaurant,37.7384072,-122.5008145,3.7,2.0,148.0,3.89,restaurant|food|point_of_interest|establishment,"3132 Vicente Street, San Francisco",San Francisco
ChIJz1klb2N9j4ARqp6cB_LkB1E,Brothers Pizza,37.741567,-122.5051504,4.5,1.0,305.0,4.5,meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment,"3627 Taraval Street, San Francisco",San Francisco
ChIJtV1K7Xt9j4ARD3yKEwvPOHA,North Beach Pizza,37.74217100000001,-122.499069,4.2,2.0,203.0,4.41,meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment,"3054 Taraval Street, San Francisco",San Francisco
ChIJRUU_7Xt9j4AR_FhVbvPxr0Y,Vanida Thai Kitchen,37.7422493,-122.4990165,4.2,2.0,180.0,4.41,restaurant|food|point_of_interest|establishment,"3050 Taraval Street, San Francisco",San Francisco
ChIJrWWwknt9j4ARDmhNf0Oa9Ew,Sunset's Best Seafood Restaurant,37.74222219999999,-122.4991667,4.2,,78.0,3.92,restaurant|food|point_of_interest|establishment,"3060 Taraval Street, San Francisco",San Francisco
ChIJq8Kn7Xt9j4ARry1Mh57xUgo,Win's Restaurant,37.7421861,-122.4989104,3.7,1.0,131.0,3.7,restaurant|food|point_of_interest|establishment,"3040 Taraval Street, San Francisco",San Francisco
ChIJTbgLahV9j4ARgnPyxENpVq4,Underdogs Too,37.7418936,-122.5048272,4.4,2.0,749.0,4.62,bar|restaurant|food|point_of_interest|establishment,"3600 Taraval Street, San Francisco",San Francisco
ChIJG-c_8O19j4ARwcbO5_Nk_Rc,Galinette,37.742031,-122.504461,4.6,2.0,141.0,4.83,restaurant|food|point_of_interest|establishment,"3554-3560 Taraval Street, San Francisco",San Francisco
ChIJ049re6h9j4ARFdcfjIJN-Gc,After Hours Ramen,37.7422285,-122.4989591,4.5,2.0,158.0,4.73,restaurant|food|point_of_interest|establishment,"3044 Taraval Street, San Francisco",San Francisco
ChIJSy9BoY-HhYAR-jHGxlGU5fc,Devil's Teeth Baking Company,37.7531472,-122.5050278,4.6,1.0,1484.0,4.6,bakery|cafe|restaurant|food|point_of_interest|store|establishment,"3876 Noriega Street, San Francisco",San Francisco
ChIJv50vpo-HhYARcpT8f3sjfFs,The Pizza Place on Noriega,37.7528086,-122.5056001,4.5,2.0,587.0,4.73,restaurant|food|point_of_interest|establishment,"3901 Noriega Street, San Francisco",San Francisco
ChIJt4KbiIWHhYARQPRRqJxeHs0,Papa Mak's Burgers,37.75282339999999,-122.5041165,4.3,2.0,563.0,4.51,restaurant|food|point_of_interest|establishment,"3755 Noriega Street, San Francisco",San Francisco
ChIJn08AoI-HhYARMPgnimpX1VM,La Playa Taqueria,37.7527778,-122.5047222,4.0,2.0,245.0,4.2,restaurant|food|point_of_interest|establishment,"3817 Noriega Street, San Francisco",San Francisco
ChIJo5tRqY-HhYAR9biObzrjoJM,Hong's Kitchen,37.7527171,-122.5057612,4.2,,96.0,4.15,restaurant|food|point_of_interest|establishment,"3917 Noriega Street, San Francisco",San Francisco
ChIJ_6VIdY-HhYARUUlFyG4lIAU,Yonkers Cafe,37.7528267,-122.5046791,4.5,1.0,269.0,4.5,cafe|restaurant|food|point_of_interest|establishment,"3815 Noriega Street, San Francisco",San Francisco
ChIJa3DkEbKHhYARqJwS_TXnlWk,ZENSHI Handcrafted Sushi,37.7528552,-122.5035708,,,,,restaurant|meal_takeaway|food|point_of_interest|establishment,"3701 Noriega Street, San Francisco",San Francisco
ChIJl9KFgIqHhYAR8kY0kvmp9q0,Toyose,37.7531997,-122.5047022,4.3,2.0,239.0,4.51,restaurant|food|point_of_interest|establishment,"3814 Noriega Street, San Francisco",San Francisco
ChIJKck2KJeHhYARBwfZ8NytyRY,Thanh Long Restaurant,37.76017,-122.5060879,4.5,3.0,1559.0,4.73,restaurant|food|point_of_interest|establishment,"4101 Judah Street, San Francisco",San Francisco
ChIJf-NCNpeHhYARLeneHNw3WWs,Outerlands,37.7602689,-122.5050311,4.4,2.0,1622.0,4.62,bar|restaurant|food|point_of_interest|establishment,"4001 Judah Street, San Francisco",San Francisco
ChIJgSqBnZaHhYARhZdyjXrqU-E,Java Beach Cafe,37.7604183,-122.5090314,4.4,2.0,1577.0,4.62,cafe|restaurant|food|point_of_interest|store|establishment,"1396 La Playa Street, San Francisco",San Francisco
ChIJuRpm-oOHhYARDWePG2cRmBQ,Domino's Pizza,37.7535476,-122.4971348,3.1,1.0,313.0,3.1,meal_takeaway|meal_delivery|restaurant|food|point_of_interest|establishment,"3116 Noriega Street, San Francisco",San Francisco
ChIJAxckUpeHhYARxPwtTgBDyWY,Judahlicious,37.760655,-122.503954,4.5,2.0,647.0,4.73,cafe|restaurant|food|point_of_interest|establishment,"3906 Judah Street, San Francisco",San Francisco
ChIJJx6vNpeHhYARrt0bJ5LSBzY,Celia's by the Beach,37.76028,-122.5051314,4.2,2.0,407.0,4.41,restaurant|food|point_of_interest|establishment,"4019 Judah Street, San Francisco",San Francisco
ChIJ5_WxL5eHhYARNm5x9Roa_yc,Woods Outbound,37.76025910000001,-122.5055792,4.6,1.0,151.0,4.6,bar|restaurant|food|point_of_interest|establishment,"4045 Judah Street, San Francisco",San Francisco
