place_id,name,lat,lng,rating,price_level,user_ratings_total,quality_score,types,vicinity,city
ChIJiWN7JkQLj4ARfe0bzQO7OOM,Cameron's Pub & Restaurant,37.44719790000001,-122.4290945,4.3,2.0,1272.0,4.51,bar|restaurant|food|point_of_interest|establishment,"1410 Cabrillo Highway South, Half Moon Bay",San Mateo
ChIJ82zmjbR0j4ARcFHRkDc0AmI,Pasta Moon,37.4578344,-122.4297811,4.5,3.0,1332.0,4.73,bar|restaurant|food|point_of_interest|establishment,"845 Main Street, Half Moon Bay",San Mateo
ChIJIzR3gEwLj4ARMZ7pCl0eASY,Sacrilege Brewery + Kitchen,37.460925,-122.4298694,4.4,2.0,644.0,4.62,bar|restaurant|food|point_of_interest|establishment,"730 Main Street, Half Moon Bay",San Mateo
ChIJz3G2VWELj4ARumKBLF0Eqbk,Blue Dragon Pho,37.4617355,-122.4292503,4.8,,71.0,4.38,restaurant|food|point_of_interest|establishment,"643 Main Street, Half Moon Bay",San Mateo
ChIJEe0lb7R0j4ARVBWtpy7ynsk,It's Italia,37.464424,-122.428775,4.5,2.0,809.0,4.73,bar|restaurant|food|point_of_interest|establishment,"401 Main Street, Half Moon Bay",San Mateo
ChIJC2BGmbR0j4ARDzFKggJ8v8E,Cantina @ San Benito House,37.4648228,-122.4293609,4.5,2.0,888.0,4.73,restaurant|bar|food|point_of_interest|establishment,"356 Main Street, Half Moon Bay",San Mateo
ChIJyXg_RCZ2j4ARQQmO6L1u12o,Fattoria e Mare,37.4655616,-122.4287194,4.2,2.0,497.0,4.41,parking|bar|restaurant|food|point_of_interest|establishment,"315 Main Street, Half Moon Bay",San Mateo
ChIJkRplZrR0j4ARYMRYVzCK0EU,Verrazzano Pizza,37.4666658,-122.4284097,4.4,1.0,211.0,4.4,meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment,"20 Stone Pine Road Suite D, Half Moon Bay",San Mateo
ChIJ9yrIZ7R0j4ARFbQCh95auVU,Monsoon Himalayan Cuisine,37.4666658,-122.4284097,4.5,2.0,571.0,4.73,restaurant|food|point_of_interest|establishment,"20 Stone Pine Road STE B, Half Moon Bay",San Mateo
ChIJxRPWUbN0j4ARUvqbq5mVlzI,Spice Me Thai Cuisine,37.4635503,-122.4304498,4.3,2.0,409.0,4.51,restaurant|food|point_of_interest|establishment,"500 Purissima Street, Half Moon Bay",San Mateo
ChIJCSJ2XrR0j4AR9yXAhrj6ZOU,China House,37.4665377,-122.4287564,3.8,,173.0,3.8,meal_delivery|bar|restaurant|food|point_of_interest|establishment,"20 Stone Pine Road Suite C, Half Moon Bay",San Mateo
ChIJCSJ2XrR0j4ARYI9JCLNUnkw,Shiki Japanese Cuisine,37.4666667,-122.4283333,4.3,2.0,328.0,4.51,restaurant|food|point_of_interest|establishment,"20 Stone Pine Road, Half Moon Bay",San Mateo
ChIJfY_BorR0j4ARG2JivG_bpho,Sushi On Main Street,37.4645955,-122.4294871,4.2,2.0,376.0,4.41,bar|restaurant|food|point_of_interest|establishment,"696 Mill Street, Half Moon Bay",San Mateo
ChIJCSJ2XrR0j4ARbigQrG_pgqw,Half Moon Bay Coffee Co,37.4665682,-122.4287474,4.1,1.0,986.0,4.1,cafe|restaurant|food|point_of_interest|store|establishment,"20 Stone Pine Road a, Half Moon Bay",San Mateo
ChIJZXQup0wLj4ARZNw6CtDdJU0,Moonside Bakery & Cafe,37.4623983,-122.4296484,4.1,2.0,549.0,4.3,bakery|restaurant|food|point_of_interest|store|establishment,"604 Main Street, Half Moon Bay",San Mateo
ChIJLWd6A7R0j4ARTm6zDRzm3Uw,Flying Fish & Grill,37.46789289999999,-122.4291618,4.2,2.0,1472.0,4.41,restaurant|food|point_of_interest|establishment,"211 San Mateo Road, Half Moon Bay",San Mateo
ChIJEdRhW7R0j4AR5Rx4IjO0sds,Jersey Joe's Coastside,37.4664501,-122.4277846,4.5,2.0,750.0,4.73,restaurant|food|point_of_interest|establishment,"40 Stone Pine Road, Half Moon Bay",San Mateo
ChIJxzbeq7R0j4ARho1-zXRImc8,Cunha's Country Store,37.4637992,-122.4294383,4.3,2.0,218.0,4.51,convenience_store|liquor_store|cafe|grocery_or_supermarket|restaurant|food|point_of_interest|store|establishment,"448 Main Street, Half Moon Bay",San Mateo
ChIJRcZsUUsLj4ARREDaPVlswZU,Nano's,37.4631563,-122.4290924,4.0,,208.0,4.0,cafe|meal_takeaway|restaurant|food|point_of_interest|store|establishment,"523 Main Street, Half Moon Bay",San Mateo
ChIJhWejV0ALj4ARutdDBk4xri4,Johnny’s Half Moon Bay,37.4627167,-122.4291286,4.5,2.0,208.0,4.73,restaurant|food|point_of_interest|establishment,"547 Main Street, Half Moon Bay",San Mateo
ChIJpy18oxN1j4AR8TEf2rsqPlY,Ciya Mediterranean Cuisine,37.4643988,-122.4292691,4.8,2.0,852.0,5.04,restaurant|food|point_of_interest|establishment,"408 Main Street, Half Moon Bay",San Mateo
ChIJMxIvmbR0j4ARPipJOoAFR_s,San Benito Deli,37.46487559999999,-122.4292156,4.7,1.0,265.0,4.7,restaurant|food|point_of_interest|store|establishment,"356 Main Street, Half Moon Bay",San Mateo
ChIJpRCVS7N0j4AR_ZY6Wb-vBRM,Spanishtown Mexican Restaurant,37.46321349999999,-122.4309116,4.2,2.0,317.0,4.41,restaurant|food|point_of_interest|establishment,"515 Church Street, Half Moon Bay",San Mateo
ChIJVVUVX0sLj4ARCiA-F5V50ng,La Piazza,37.4625533,-122.4298592,5.0,,4.0,3.56,restaurant|food|point_of_interest|establishment,"604 Main Street, Half Moon Bay",San Mateo
ChIJbzLDJEd1j4ARlZDrYTFZ80Q,Full Hearts Arcade and Eats,37.465319,-122.429516,4.7,2.0,44.0,4.11,restaurant|food|point_of_interest|establishment,"328 Main Street #101, Half Moon Bay",San Mateo
ChIJN_rEtEwLj4ARLT7ovJ5gBBU,Cafe Capistrano,37.46293060000001,-122.4310028,4.6,2.0,613.0,4.83,cafe|restaurant|food|point_of_interest|establishment,"523 Church Street, Half Moon Bay",San Mateo
ChIJP4mr-rN0j4AR375mS_TXJnM,The Fisherman's Taverna,37.4673889,-122.4303784,4.1,2.0,641.0,4.3,restaurant|food|point_of_interest|establishment,"99 San Mateo Road unit b, Half Moon Bay",San Mateo
ChIJ-S_7ZrF0j4ARkuPZq9ouLGA,Straw Hat Pizza,37.46816630000001,-122.4313278,4.2,2.0,186.0,4.41,meal_delivery|restaurant|food|point_of_interest|establishment,"186 San Mateo Road, Half Moon Bay",San Mateo
ChIJc2Nx_7N0j4ARL_yhkRuUICw,The Happy Taco Taqueria,37.4682078,-122.4313511,4.2,1.0,407.0,4.2,restaurant|food|point_of_interest|establishment,"184 San Mateo Road, Half Moon Bay",San Mateo
ChIJcdvyXrF0j4ARUocN01E4aw0,7-Eleven,37.4681605,-122.4309093,2.5,1.0,49.0,2.12,convenience_store|liquor_store|cafe|store|restaurant|food|point_of_interest|establishment,"196 San Mateo Road, Half Moon Bay",San Mateo
ChIJ1fXfm5R1j4ARHakjU5dQpi8,North Beach Pizza Express,37.46966520000001,-122.4314387,4.9,1.0,27.0,3.83,meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment,"101 Main Street A, Half Moon Bay",San Mateo
ChIJLaLEtuh1j4ARBGBQhB07mRM,Crystal Springs Golf Course,37.55747499999999,-122.3816219,4.0,,322.0,4.0,bar|restaurant|food|health|point_of_interest|establishment,"6650 Golf Course Drive, Burlingame",San Mateo
ChIJRcppuo11j4ARblxp8WzdrSE,The Reservoir Pub & Grill,37.5576792,-122.3820747,,,,,restaurant|food|point_of_interest|establishment,"6650 Golf Course Drive, Burlingame",San Mateo
ChIJq2Lo6SR2j4ARZiFdFBGLo9w,Broadway Grill,37.5848886,-122.3658926,4.4,3.0,539.0,4.62,bar|restaurant|food|point_of_interest|establishment,"1400 Broadway, Burlingame",San Mateo
ChIJDVVK5CR2j4ARgPE-lTYlOWc,Broadway Prime,37.5853618,-122.3654883,4.3,3.0,632.0,4.51,restaurant|food|point_of_interest|establishment,"1316 Broadway, Burlingame",San Mateo
ChIJQeCH7yR2j4ARUbr89ybs_w8,Cafe Figaro,37.585413,-122.36569,4.5,2.0,330.0,4.73,bar|restaurant|food|point_of_interest|establishment,"1318 Broadway, Burlingame",San Mateo
ChIJqfq09yR2j4ARZNC9Jan_MZs,Shabu House,37.5855389,-122.3646944,4.4,2.0,388.0,4.62,restaurant|food|point_of_interest|establishment,"1150 Paloma Avenue, Burlingame",San Mateo
ChIJq6vw5CR2j4ARP1LVGHioYOM,Subway,37.5854576,-122.3654668,3.8,1.0,133.0,3.8,meal_takeaway|restaurant|food|point_of_interest|establishment,"1308 Broadway, Burlingame",San Mateo
ChIJy-qn4iR2j4ARubCFxpW4lh0,Starbucks,37.5859008,-122.3651705,4.0,2.0,406.0,4.2,cafe|restaurant|food|point_of_interest|store|establishment,"1230 Broadway, Burlingame",San Mateo
ChIJabgbACV2j4ARD2wh28Cgs6Y,Village Host Pizza & Grill,37.58604400000001,-122.364574,4.2,2.0,341.0,4.41,meal_delivery|restaurant|food|point_of_interest|establishment,"1201 Broadway, Burlingame",San Mateo
ChIJ7xbkqSV2j4ARMmIU5GRzkWs,Bonne Sante Broadway,37.5846293,-122.3658061,4.5,1.0,193.0,4.5,meal_takeaway|restaurant|food|point_of_interest|establishment,"1431 Broadway, Burlingame",San Mateo
ChIJkxrB_yR2j4ARArTT1P_8Ou0,Ristorante Rocca,37.58601639999999,-122.3646821,4.5,2.0,552.0,4.73,bar|restaurant|food|point_of_interest|establishment,"1205 Broadway, Burlingame",San Mateo
ChIJr6t18iR2j4ARAxZG3SeWvfs,Cafe Capuchino,37.584843,-122.3654139,4.9,1.0,156.0,4.9,cafe|restaurant|food|point_of_interest|store|establishment,"1158 Capuchino Avenue, Burlingame",San Mateo
ChIJa3BqASV2j4AR0Z5qgwuefME,Young Can Wok Chinese Bistro,37.5862695,-122.3648867,4.1,2.0,211.0,4.3,restaurant|food|point_of_interest|establishment,"1200 Broadway, Burlingame",San Mateo
ChIJofaR7yR2j4ARuKNI4uVDOKU,Behan's An Irish Pub,37.58522780000001,-122.3653139,4.4,1.0,290.0,4.4,bar|restaurant|food|point_of_interest|establishment,"1327 Broadway, Burlingame",San Mateo
ChIJTTER7SR2j4ARt_v48U0Kbyo,Que SeRaw SeRaw,37.5848337,-122.3653863,4.7,2.0,77.0,4.59,meal_takeaway|restaurant|food|point_of_interest|establishment,"1160 Capuchino Avenue, Burlingame",San Mateo
ChIJ8Ule_iR2j4ARa3XRKhoN3lU,il Piccolo Caffe,37.5858833,-122.3648127,4.5,1.0,304.0,4.5,cafe|restaurant|food|point_of_interest|store|establishment,"1219 Broadway, Burlingame",San Mateo
ChIJOxX-qLx3j4AR_Wksr1A1aPE,Plucky's Cafe,37.58513,-122.3657303,4.7,,123.0,4.7,restaurant|cafe|food|point_of_interest|establishment,"1352 Broadway, Burlingame",San Mateo
ChIJCx-t2IF3j4AR9hpvNAjkTwY,Centro Pizza,37.5851844,-122.3656736,4.6,2.0,289.0,4.83,restaurant|food|point_of_interest|establishment,"1326 Broadway, Burlingame",San Mateo
ChIJL35i5iR2j4AR99unW3trc6g,Sky Ramen,37.5853217,-122.3657004,4.1,2.0,114.0,4.3,restaurant|food|point_of_interest|establishment,"1320 Broadway, Burlingame",San Mateo
ChIJORjJh2d3j4ARPJK8q1uPWXM,Himali Bistro,37.5855556,-122.365,4.9,,172.0,4.9,restaurant|food|point_of_interest|establishment,"1251 Broadway, Burlingame",San Mateo
ChIJW5G6riV2j4ARpecjQWBW1OU,Royal Donut Cafe,37.58651949999999,-122.3641293,4.5,1.0,461.0,4.5,bakery|cafe|restaurant|food|point_of_interest|store|establishment,"1165 Broadway, Burlingame",San Mateo
ChIJ9TBrXgB3j4AR8NdHIsecCpw,Shabu Club,37.5856216,-122.3646392,4.5,,8.0,3.26,restaurant|food|point_of_interest|establishment,"1150 Paloma Avenue, Burlingame",San Mateo
ChIJndyPICp3j4ARaCUaOEoQ0OU,Sweet Citrus Burlingame,37.5857907,-122.3653364,4.7,2.0,24.0,3.81,restaurant|food|point_of_interest|establishment,"1236 Broadway, Burlingame",San Mateo
